,Show_Id,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description
104,s105,TV Show,Tayo the Little Bus,"Raúl Campos, Jan Suter","Robyn Slade, Kami Desilets",South Korea,"September 6, 2021",2016,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows","As They Learn Their Routes Around The Busy City, Tayo And His Little Bus Friends Discover New Sights And Go On Exciting Adventures Every Day."
105,s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,"Antony Varghese, Reshma Rajan, Binny Rinky Benjamin, Vineeth Vishwam, Kichu Tellus, Sreekanth Dasan, Sarath Kumar, Tito Wilson, Anandhu, Bitto Davis, Sinoj Varghese",India,"September 5, 2021",2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas","After Growing Up Amidst The Gang Wars Of His Hometown, Vincent Forms An Entrepreneurial Squad Of His Own And Ends Up On The Wrong Side Of The Law."
106,s107,TV Show,Bunk'd,"Raúl Campos, Jan Suter","Peyton List, Karan Brar, Skai Jackson, Miranda May, Kevin G. Quinn, Nathan Arenas, Nina Lu",United States,"September 5, 2021",2021,TV-G,5 Seasons,"Kids' TV, TV Comedies","The Ross Siblings Of Disney'S Hit Series ""Jessie"" Spend A Summer Full Of Fun And Adventure At Maine'S Camp Kikiwaka, Where Their Parents First Met."
107,s108,Movie,A Champion Heart,David de Vos,"Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido",United States,"September 4, 2021",2018,G,90 min,"Children & Family Movies, Dramas","When A Grieving Teen Must Work Off Her Debt To A Ranch, She Cares For A Wounded Horse That Teaches Her More About Healing Than She Expected."
108,s109,TV Show,Dive Club,"Raúl Campos, Jan Suter","Aubri Ibrag, Sana'a Shaik, Miah Madden, Mercy Cornwall, Georgia-May Davis, Ryan Harrison, Josh Heuston, Alexander Grant",Australia,"September 3, 2021",2021,TV-G,1 Season,"Kids' TV, TV Dramas, Teen TV Shows","On The Shores Of Cape Mercy, A Skillful Group Of Teen Divers Investigate A Series Of Secrets And Signs After One Of Their Own Mysteriously Goes Missing."
109,s110,TV Show,La casa de papel,"Raúl Campos, Jan Suter","Úrsula Corberó, Itziar Ituño, Álvaro Morte, Paco Tous, Enrique Arce, Pedro Alonso, María Pedraza, Alba Flores, Miguel Herrán, Jaime Lorente, Esther Acebo, Darko Peric, Kiti Mánver",Spain,"September 3, 2021",2021,TV-MA,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Eight Thieves Take Hostages And Lock Themselves In The Royal Mint Of Spain As A Criminal Mastermind Manipulates The Police To Carry Out His Plan.
111,s112,TV Show,Sharkdog,"Raúl Campos, Jan Suter","Liam Mitchell, Dee Bradley Baker, Grey Griffin, Josh McDermitt, Kari Wahlgren, Judy Alice Lee, Ali Mawji","United States, Singapore","September 3, 2021",2021,TV-Y,1 Season,Kids' TV,"Half Shark, Half Dog With A Big Heart And A Belly Full Of Fish Sticks! Together, Sharkdog And His Human Pal Max Can Take On Any Silly Or Messy Adventure."
114,s115,Movie,Anjaam,Rahul Rawail,"Madhuri Dixit, Shah Rukh Khan, Tinnu Anand, Johny Lever, Kalpana Iyer, Himani Shivpuri, Sudha Chandran, Beena, Kiran Kumar",India,"September 2, 2021",1994,TV-14,143 min,"Dramas, International Movies, Thrillers","A Wealthy Industrialist’S Dangerous Obsession With A Flight Attendant Destroys Her World, Until She Takes Matters Into Her Own Hands To Exact Revenge."
115,s116,Movie,Bright Star,Jane Campion,"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin","United Kingdom, Australia, France","September 2, 2021",2009,PG,119 min,"Dramas, Romantic Movies",This Drama Details The Passionate Three-Year Romance Between Romantic Poet John Keats – Who Died Tragically At Age 25 – And His Great Love And Muse.
116,s117,Movie,Dhanak,Nagesh Kukunoor,"Krrish Chhabria, Hetal Gada, Vipin Sharma, Gulfam Khan, Suresh Menon, Vijay Maurya, Rajiv Lakshman, Ninad Kamat",India,"September 2, 2021",2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",A Movie-Loving 10-Year-Old And Her Blind Little Brother Trek To Meet Indian Superstar Shah Rukh Khan For Help In Getting The Boy An Eye Operation.
117,s118,Movie,Final Account,Luke Holland,Unknown,"United Kingdom, United States","September 2, 2021",2021,PG-13,94 min,Documentaries,This Documentary Stitches Together Never-Before-Seen Interviews With The Last Living Generation Of People Who Participated In Hitler'S Third Reich.
118,s119,Movie,Gurgaon,Shanker Raman,"Akshay Oberoi, Pankaj Tripathi, Ragini Khanna, Aamir Bashir, Shalini Vatsa, Ashish Verma",India,"September 2, 2021",2017,TV-14,106 min,"Dramas, International Movies, Thrillers","When The Daughter Of A Wealthy Family Returns From College, She Gets A Frosty Welcome From Her Brother, Who Has Problems – And Plans – Of His Own."
120,s121,TV Show,Heroes of Goo Jit Zu,"Raúl Campos, Jan Suter","Jon Allen, Kellen Goff, Joe Hernandez, Kaiji Tang",Australia,"September 2, 2021",2021,TV-Y7,1 Season,"Kids' TV, TV Comedies","After A Meteor Crash, A Group Of Zoo Animals Transforms Into Squishy, Gooey And Stretchy Superheroes With Special Powers And Soon Takes On Evildoers."
122,s123,Movie,In the Cut,Jane Campion,"Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh, Nick Damici, Sharrieff Pugh, Kevin Bacon, Yaani King Mondschein, Heather Litteer","United Kingdom, Australia, France, United States","September 2, 2021",2003,R,118 min,Thrillers,"After Embarking On An Affair With The Cop Probing The Murder Of A Young Woman, An Insular Schoolteacher Suspects Her Lover Was Involved In The Crime."
124,s125,TV Show,Pororo - The Little Penguin,"Raúl Campos, Jan Suter",Unknown,South Korea,"September 2, 2021",2013,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows","On A Tiny Island, Pororo The Penguin Has Fun Adventures With His Friends Eddy The Fox, Loopy The Beaver, Poby The Polar Bear And Crong The Dinosaur."
125,s126,TV Show,Q-Force,"Raúl Campos, Jan Suter","Sean Hayes, Wanda Sykes, Laurie Metcalf, David Harbour, Gary Cole, Patti Harrison, Matt Rogers",United States,"September 2, 2021",2021,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies","A Gay Superspy And His Scrappy Lgbtq Squad Fight To Prove Themselves To The Agency That Underestimated Them. Today, West Hollywood… Tomorrow, The World!"
126,s127,Movie,Shikara,Vidhu Vinod Chopra,"Aadil Khan, Sadia Khateeb, Zain Khan Durrani, Priyanshu Chatterjee, Bhavna Chauhan, Ashwin Dhar, Farid Azad Khan, Saghar Sehrai",India,"September 2, 2021",2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies",A Couple Must Strive To Remain Resilient After Regional Hostilities Drive Them From Their Beloved Home Into A Refugee Camp.
127,s128,Movie,A Cinderella Story,Mark Rosman,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg","United States, Canada","September 1, 2021",2004,PG,95 min,"Children & Family Movies, Comedies",Teen Sam Meets The Boy Of Her Dreams At A Dance Before Returning To Toil In Her Stepmother'S Diner. Can Her Lost Cell Phone Bring Them Together?
129,s130,Movie,An Unfinished Life,Lasse Hallström,"Robert Redford, Jennifer Lopez, Morgan Freeman, Josh Lucas, Damian Lewis, Camryn Manheim, Becca Gardner, Lynda Boyd, Rob Hayter, P. Lynn Johnson","Germany, United States","September 1, 2021",2005,PG-13,108 min,Dramas,"A Grieving Widow And Her Daughter Move In With Her Estranged Father-In-Law In Wyoming, Where Time Allows Them To Heal And Forgive."
131,s132,Movie,Blade Runner: The Final Cut,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah, William Sanderson, Brion James, Joe Turkel, Joanna Cassidy, James Hong, Morgan Paull",United States,"September 1, 2021",1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies","In A Smog-Choked Dystopian Los Angeles, Blade Runner Rick Deckard Is Called Out Of Retirement To Snuff A Quartet Of Escaped ""Replicants."""
133,s134,Movie,Chappie,Neill Blomkamp,"Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede","South Africa, United States","September 1, 2021",2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy","In A Futuristic Society Where An Indestructible Robot Police Force Keeps Crime At Bay, A Lone Droid Evolves To The Next Level Of Artificial Intelligence."
134,s135,Movie,Clear and Present Danger,Phillip Noyce,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Dean Jones, Thora Birch, James Earl Jones, Raymond Cruz","United States, Mexico","September 1, 2021",1994,PG-13,142 min,"Action & Adventure, Dramas","When The President'S Friend Is Murdered, Cia Deputy Director Jack Ryan Becomes Unwittingly Involved In An Illegal War Against A Colombian Drug Cartel."
135,s136,Movie,Cliffhanger,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner, Rex Linn, Caroline Goodall, Leon, Craig Fairbrass, Ralph Waite, Max Perlich, Paul Winfield","United States, Italy, France, Japan","September 1, 2021",1993,R,113 min,Action & Adventure,"Ranger Gabe Walker And His Partner Are Called To Rescue A Group Of Stranded Climbers, Only To Learn The Climbers Are Actually Thieving Hijackers."
136,s137,Movie,Cold Mountain,Anthony Minghella,"Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone","United States, Italy, Romania, United Kingdom","September 1, 2021",2003,R,154 min,"Dramas, Romantic Movies","This Drama Follows A Wounded Civil War Soldier Making The Long Journey Home, While His Faraway Love Fights For Survival On Her Deceased Father'S Farm."
137,s138,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,"Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Aida Turturro, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Paul Rodriguez, Mark Adair-Rios, Tiriel Mora, Grant Piro, Mike Tyson","Australia, United States","September 1, 2021",2001,PG,95 min,"Action & Adventure, Comedies","When Mick ""Crocodile"" Dundee And His Family Land In Los Angeles, They Soon Learn Some Lessons About American Life In This Comedy Sequel."
138,s139,Movie,Dear John,Lasse Hallström,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith Robinson, Scott Porter",United States,"September 1, 2021",2010,PG-13,108 min,"Dramas, Romantic Movies","While On Summer Leave, A U.S. Soldier Falls For A College Student. But When He'S Forced To Reenlist, Their Handwritten Letters Hold The Lovers Together."
139,s140,Movie,Do the Right Thing,Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Samuel L. Jackson, Rosie Perez, Martin Lawrence, Miguel Sandoval",United States,"September 1, 2021",1989,R,120 min,"Classic Movies, Comedies, Dramas","On A Sweltering Day In Brooklyn, Simmering Racial Tensions Between Residents Rise To The Surface And Ignite Rage, Violence And Tragedy."
140,s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,"Joaquín Furriel, Luis Ziembrowski, Guillermo Pfening, Mónica Lairana, Germán de Silva, Victoria Raposo, Andrea Garrote","Argentina, Venezuela","September 1, 2021",2014,TV-MA,100 min,"Dramas, International Movies, Thrillers",A Lawyer Defends An Illiterate Man Whose Exploitation By A Cruel Boss While Working As A Butcher In Buenos Aires Led To Tragedy. Based On A True Case.
141,s142,Movie,Extraction,Steven C. Miller,"Bruce Willis, Kellan Lutz, Gina Carano, D.B. Sweeney, Joshua Mikel, Steve Coulter, Dan Bilzerian, Heather Johansen","United States, United Kingdom, Canada","September 1, 2021",2015,R,82 min,Action & Adventure,"When A Retired Cia Agent Is Kidnapped, His Son, A Government Analyst, Embarks On An Unauthorized Mission To Find Him And Halt A Terrorist Plot."
142,s143,Movie,Freedom Writers,Richard LaGravenese,"Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April L. Hernandez, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith","Germany, United States","September 1, 2021",2007,PG-13,124 min,Dramas,"While Her At-Risk Students Are Reading Classics Such As ""The Diary Of Anne Frank,"" A Teacher Asks Them To Keep Journals About Their Troubled Lives."
143,s144,Movie,Green Lantern,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett",United States,"September 1, 2021",2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",Test Pilot Hal Jordan Harnesses Glowing New Powers For Good When He Wears An Otherworldly Ring And Helps An Intergalactic Force Stop A Powerful Threat.
144,s145,Movie,House Party,Reginald Hudlin,"Christopher Reid, Christopher Martin, Robin Harris, Tisha Campbell, A.J. Johnson, Martin Lawrence, Paul Anthony, Bowlegged Lou, B-Fine, Edith Fields, Kelly Jo Minter, Clifton Powell, Verda Bridges",United States,"September 1, 2021",1990,R,104 min,"Comedies, Cult Movies","Grounded By His Strict Father, Kid Risks Life And Limb To Go To His Best Friend Play'S Big Bash But Experiences One Obstacle After Another."
145,s146,Movie,House Party 2,"George Jackson, Doug McHenry","Christopher Reid, Christopher Martin, Martin Lawrence, Bowlegged Lou, Paul Anthony, B-Fine, Tisha Campbell, Kamron, Iman, Queen Latifah",United States,"September 1, 2021",1991,R,94 min,"Comedies, Cult Movies, Music & Musicals","Kid Goes Off To College With Scholarship Money But When Play Loses Kid'S Tuition Funds To A Shady Music Promoter, They Devise A Wild Plan To Raise Cash."
146,s147,Movie,House Party 3,Eric Meza,"Christopher Reid, Christopher Martin, Tisha Campbell, David Edwards, Angela Means, Ketty Lester, Bernie Mac, Michael Colyar, Chris Tucker, Khandi Alexander",United States,"September 1, 2021",1994,R,94 min,"Comedies, Music & Musicals","After Kid Gets Engaged, Play Plans To Throw The Biggest Bachelor Party Ever. But Every Celebration For These Two Always Comes With Complications."
149,s150,Movie,I Got the Hook Up,Michael Martin,"Master P, Anthony Johnson, Gretchen Palmer, Frantz Turner, Richard Keats, Joe Estevez, William Knight, Anthony Boswell, Tommy 'Tiny' Lister, Helen Martin, John Witherspoon, Mia X",United States,"September 1, 2021",1998,R,93 min,"Action & Adventure, Comedies","After Getting Their Hands On A Misdirected Shipment Of Cell Phones, Two Hustlers Try To Cash In By Hawking The Merchandise From The Back Of Their Van."
150,s151,Movie,In Too Deep,Michael Rymer,"Omar Epps, LL Cool J, Nia Long, Stanley Tucci, Pam Grier, Hill Harper, Jake Weber, David Patrick Kelly, Veronica Webb, Ron Canada, Robert LaSardo, Gano Grills, Ivonne Coll, Don Harvey, Mya, Nasir 'Nas' Jones, Jermaine Dupri",United States,"September 1, 2021",1999,R,97 min,Thrillers,"Rookie Cop Jeffrey Cole Poses As A Drug Dealer To Take Down A Crime Lord And Soon Gets Caught Up In An Underworld Of Bribery, Intimidation And Murder."
151,s152,Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak","Jay Chou, Anne Suzuki, Edison Chen, Anthony Wong Chau-sang, Shawn Yue, Chapman To, Jordan Chan, Kenny Bee","China, Hong Kong","September 1, 2021",2005,TV-14,109 min,"Action & Adventure, International Movies","By Day, An 18-Year-Old Delivers Tofu For His Father, A Retired Race Car Driver; But By Night, It'S The Teen'S Turn To Take The Wheel."
152,s153,Movie,Janoskians: Untold and Untrue,Brett Weiner,"Jai Brooks, Luke Brooks, James Yammouni, Daniel Sahyounie, Beau Brooks",United States,"September 1, 2021",2016,TV-MA,88 min,Comedies,Follow The Story Of Three Australian Brothers And Their Two Friends Who Became An International Sensation By Posting Pranks And Gags On Youtube.
153,s154,TV Show,Kid-E-Cats,"Raúl Campos, Jan Suter","Lori Gardner, Kate Bristol, Billy Bob Thompson, Marc Thompson, Erica Schroeder",Russia,"September 1, 2021",2016,TV-Y,2 Seasons,Kids' TV,"Cookie, Pudding And Candy Are Kitten Siblings Whose Favorite Things Are Sweet Treats And Letting Their Curiosity Lead Them On Adventures In Learning."
154,s155,TV Show,Kuroko's Basketball,"Raúl Campos, Jan Suter","Kensho Ono, Yuki Ono, Chiwa Saito, Yoshimasa Hosoya, Hirofumi Nojima, Kenji Hamada, Takuya Eguchi, Soichiro Hoshi, Tatsuhisa Suzuki, Go Inoue, Daisuke Ono, Ryohei Kimura, Junichi Suwabe, Kazuya Nakai, Fumiko Orikasa, Kenichi Suzumura, Kisho Taniyama, Hiroshi Kamiya",Japan,"September 1, 2021",2015,TV-MA,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows","Five Middle School Basketball Stars Went To Separate High Schools, And Now Tetsuya Kuroko And Seirin High Are Making Their Play For Glory."
155,s156,Movie,Labyrinth,Jim Henson,"David Bowie, Jennifer Connelly, Frank Oz, Kevin Clash, Anthony Asbury, Dave Goelz, Brian Henson, Ron Mueck, Karen Prell, Shari Weiser","United Kingdom, United States","September 1, 2021",1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies","In Jim Henson'S Fantasy, Teen Sarah Embarks On A Life-Altering Quest To Rescue Her Little Brother From The Clutches Of A Treacherous Goblin."
156,s157,Movie,Letters to Juliet,Gary Winick,"Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero, Luisa Ranieri, Marina Massironi, Milena Vukotic, Marcia DeBonis, Luisa De Santis, Lidia Biondi, Giordano Formenti, Chris Egan",United States,"September 1, 2021",2010,PG,105 min,"Comedies, Dramas, Romantic Movies","By Responding To A Letter Addressed To Shakespeare'S Tragic Heroine Juliet Capulet, An American Woman In Verona, Italy, Is Led In Search Of Romance."
157,s158,Movie,Level 16,Danishka Esterhazy,"Katie Douglas, Celina Martin, Peter Outerbridge, Sara Canning, Alexis Whelan, Amalia Williamson, Josette Halpert, Kiana Madeira",Canada,"September 1, 2021",2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers","In A Bleak Academy That Teaches Girls The Virtues Of Passivity, Two Students Uncover The Ghastly Purpose Behind Their Training And Resolve To Escape."
158,s159,Movie,Love Don't Cost a Thing,Troy Byer,"Nick Cannon, Christina Milian, Kenan Thompson, Kal Penn, Steve Harvey, Al Thompson, Ashley Monique Clark, Elimu Nelson, Nichole Robinson, Melissa Schuman",United States,"September 1, 2021",2003,PG-13,101 min,"Comedies, Romantic Movies",A Nerdy Teen Tries To Make Himself Cool By Association When He Convinces A Popular Cheerleader To Pose As His Girlfriend.
